Name Longitude Latitude
Pedicularis_praeruptorum 98.82516 28.44166
Pedicularis_praeruptorum 98.91409 28.05955
Pedicularis_praeruptorum 98.69777 28.0568
Pedicularis_praeruptorum 98.45786 27.7682
Pedicularis_wanghongiae 98.56866 27.76758
Pedicularis_armata 103.4628 35.22068
Pedicularis_armata 103.8463 35.46101
Pedicularis_armata 103.4504 32.86888
Pedicularis_armata 99.44175 33.69505
Pedicularis_armata 102.5762 32.83831
Pedicularis_armata 101.0604 33.23007
Pedicularis_armata 103.4434 32.33775
Pedicularis_armata 97.03428 32.071
Pedicularis_armata 102.4419 33.40149
Pedicularis_armata 101.0331 32.26626
Pedicularis_armata 102.1569 32.69175
Pedicularis_armata 101.7704 32.90143
Pedicularis_armata 102.9242 33.86794
Pedicularis_armata 102.4238 32.39373
Pedicularis_armata 103.6562 34.9441
Pedicularis_armata 97.3822 33.35632
Pedicularis_armata 103.078 32.96785
Pedicularis_chinensis 102.9283 35.40118
Pedicularis_chinensis 102.3703 35.0085
Pedicularis_chinensis 106.2541 35.49143
Pedicularis_chinensis 103.0633 35.0179
Pedicularis_chinensis 103.9897 35.78348
Pedicularis_chinensis 103.7679 35.89387
Pedicularis_chinensis 103.985 35.06429
Pedicularis_chinensis 101.9627 36.76967
Pedicularis_chinensis 100.9186 37.80447
Pedicularis_chinensis 100.5083 36.46172
Pedicularis_chinensis 100.2232 37.2364
Pedicularis_chinensis 101.5313 37.1267
Pedicularis_chinensis 101.6666 36.9506
Pedicularis_fletcheri 94.39956 29.59931
Pedicularis_fletcheri 94.60823 29.58217
Pedicularis_fletcheri 94.34042 29.66156
Pedicularis_fletcheri 94.74561 29.81352
Pedicularis_fletcheri 94.56343 29.55795
Pedicularis_fletcheri 94.9051 29.53536
Pedicularis_fletcheri 94.64725 29.46399
Pedicularis_fletcheri 93.10275 28.70229
Pedicularis_fletcheri 94.5677 29.34448
Pedicularis_fletcheri 94.19996 29.17152
Pedicularis_fletcheri 94.09096 29.19089
Pedicularis_fletcheri 94.36799 29.30609
Pedicularis_fletcheri 93.9245 30.00431
Pedicularis_fletcheri 94.22025 29.10355
Pedicularis_fletcheri 93.31406 29.88939
Pedicularis_fletcheri 93.89685 29.78366
Pedicularis_fletcheri 93.72538 29.83176
Pedicularis_fletcheri 93.09786 29.03684
Pedicularis_fletcheri 93.02899 28.72146
Pedicularis_fletcheri 93.24707 28.68896
Pedicularis_fletcheri 93.08074 28.61882
Pedicularis_fletcheri 94.74262 29.75873
Pedicularis_fletcheri 94.73513 29.69421
Pedicularis_fletcheri 92.85131 29.16483
Pedicularis_fletcheri 92.60957 29.29209
Pedicularis_fletcheri 93.19481 29.21083
Pedicularis_tricolor 99.72644 27.79318
Pedicularis_tricolor 99.6735 27.86917
Pedicularis_tricolor 99.55255 27.99005
Pedicularis_tricolor 99.90437 27.79604
Pedicularis_tricolor 99.92488 27.40015
Pedicularis_tricolor 99.48126 28.0821
Pedicularis_tricolor 100.4007 28.38763
Pedicularis_cranolopha 99.21639 30.21446
Pedicularis_cranolopha 97.51304 28.7633
Pedicularis_cranolopha 97.57533 31.2281
Pedicularis_cranolopha 97.88152 29.6722
Pedicularis_cranolopha 96.75 31.10124
Pedicularis_cranolopha 98.1913 31.44657
Pedicularis_cranolopha 98.59122 31.75324
Pedicularis_cranolopha 96.83237 29.36496
Pedicularis_cranolopha 93.61016 29.82798
Pedicularis_cranolopha 91.53502 29.77727
Pedicularis_cranolopha 98.24037 30.89648
Pedicularis_cranolopha 97.55472 31.20357
Pedicularis_cranolopha 96.99828 31.10069
Pedicularis_cranolopha 102.3811 31.02063
Pedicularis_cranolopha 100.8334 29.99245
Pedicularis_cranolopha 99.35928 30.27993
Pedicularis_cranolopha 99.42206 29.88941
Pedicularis_cranolopha 100.3828 28.3979
Pedicularis_cranolopha 100.2426 28.66294
Pedicularis_cranolopha 101.9248 29.8698
Pedicularis_cranolopha 102.7488 30.76561
Pedicularis_cranolopha 101.1147 33.21187
Pedicularis_cranolopha 99.19623 31.882
Pedicularis_cranolopha 98.25584 31.49848
Pedicularis_cranolopha 100.299 31.63307
Pedicularis_cranolopha 102.1354 31.87714
Pedicularis_cranolopha 99.96055 30.14678
Pedicularis_cranolopha 102.5344 33.41457
Pedicularis_cranolopha 102.353 32.49084
Pedicularis_cranolopha 97.03526 32.94759
Pedicularis_cranolopha 96.50104 31.96976
Pedicularis_cranolopha 101.6626 37.18093
Pedicularis_cranolopha 102.7777 31.00047
Pedicularis_cranolopha 100.398 32.17872
Pedicularis_cranolopha 92.14122 31.4882
Pedicularis_cranolopha 93.59485 31.49301
Pedicularis_cranolopha 102.6036 32.94183
Pedicularis_cranolopha 98.67247 29.72229
Pedicularis_cranolopha 97.92683 29.66244
Pedicularis_cranolopha 94.82732 29.88655
Pedicularis_cranolopha 93.6604 29.84528
Pedicularis_cranolopha 102.0413 31.38732
Pedicularis_cranolopha 97.94476 31.6763
Pedicularis_cranolopha 97.81541 31.37617
Pedicularis_cranolopha 98.31546 30.96468
Pedicularis_cranolopha 96.71272 31.4535
Pedicularis_cranolopha 101.0114 32.27434
Pedicularis_cranolopha 102.7347 34.01287
Pedicularis_cranolopha 101.9525 32.86957
Pedicularis_cranolopha 101.4859 29.25508
Pedicularis_cranolopha 103.0159 32.56587
Pedicularis_cranolopha 98.06865 32.9258
Pedicularis_cranolopha 101.5123 37.00512
Pedicularis_cranolopha 102.3973 31.86989
Pedicularis_cranolopha 98.56347 31.74444
Pedicularis_cranolopha 103.201 32.92893
Pedicularis_cranolopha 98.29908 29.55625
Pedicularis_cranolopha 100.3998 34.49635
Pedicularis_cranolopha 99.55181 33.76528
Pedicularis_cranolopha 101.4433 34.92082
Pedicularis_cranolopha 101.5338 33.52412
Pedicularis_cranolopha 102.0043 32.02939
Pedicularis_cranolopha 102.393 35.04902
Pedicularis_cranolopha 99.81942 28.73078
Pedicularis_cranolopha 102.0325 31.88564
Pedicularis_cranolopha 98.80469 31.23675
Pedicularis_cranolopha 96.46989 32.27117
Pedicularis_cranolopha 100.3671 33.22074
Pedicularis_cranolopha 96.79918 32.00347
Pedicularis_cranolopha 99.52809 38.40757
Pedicularis_cranolopha 100.6575 33.0482
Pedicularis_cranolopha 102.326 31.6656
Pedicularis_cranolopha 101.9538 30.01087
Pedicularis_cranolopha 99.66013 28.88909
Pedicularis_cranolopha 100.9082 31.62626
Pedicularis_cranolopha 101.9589 30.10598
Pedicularis_cranolopha 98.13539 31.33115
Pedicularis_yunnanensis 100.0743 25.72478
Pedicularis_yunnanensis 99.04248 25.95656
Pedicularis_yunnanensis 99.01582 26.20968
Pedicularis_yunnanensis 99.02445 26.41887
Pedicularis_yunnanensis 99.02421 26.76655
Pedicularis_yunnanensis 98.95642 27.33479
Pedicularis_yunnanensis 98.97113 28.39731
Pedicularis_strobilacea 99.04719 26.03692
Pedicularis_strobilacea 99.03883 26.22775
Pedicularis_strobilacea 99.05027 26.49596
Pedicularis_strobilacea 98.26277 28.55755
Pedicularis_strobilacea 98.51629 28.51797
Pedicularis_strobilacea 97.66911 28.66089
Pedicularis_strobilacea 98.43982 28.41982
Pedicularis_strobilacea 99.57589 27.78798
Pedicularis_strobilacea 98.97054 27.3717
Pedicularis_oxycarpa 100.8059 26.66955
Pedicularis_oxycarpa 99.47417 26.40257
Pedicularis_oxycarpa 103.5615 28.25243
Pedicularis_oxycarpa 103.3415 29.48786
Pedicularis_oxycarpa 101.218 27.67675
Pedicularis_oxycarpa 102.808 28.95593
Pedicularis_oxycarpa 102.3703 30.18777
Pedicularis_oxycarpa 100.2522 27.11499
Pedicularis_oxycarpa 99.50814 26.4652
Pedicularis_oxycarpa 103.1133 24.89414
Pedicularis_oxycarpa 100.0881 26.32212
Pedicularis_oxycarpa 102.2616 28.97603
Pedicularis_oxycarpa 102.6282 28.48099
Pedicularis_oxycarpa 100.8603 28.71111
Pedicularis_oxycarpa 100.9743 28.34487
Pedicularis_oxycarpa 101.5866 27.2043
Pedicularis_oxycarpa 100.5309 28.05176
Pedicularis_oxycarpa 100.189 26.9323
Pedicularis_oxycarpa 100.2344 27.0471
Pedicularis_oxycarpa 100.2828 27.13734
Pedicularis_oxycarpa 100.2403 27.21205
Pedicularis_oxycarpa 100.0735 27.29631
Pedicularis_oxycarpa 99.94443 27.41916
Pedicularis_oxycarpa 99.87118 27.49757
Pedicularis_oxycarpa 99.91256 27.62897
Pedicularis_oxycarpa 99.83953 27.58343
Pedicularis_oxycarpa 99.75928 27.61105
